COD;Scuola;Dipartimento;Sede Dipartmento;Livello;Denominazione CdS;Modalità didattica;Participants;Graduate Students  in 2021/2022;Proportion of Graduates
056701;Scuola di Medicina;Biotenologie molecolari e scienze per la salute;Via Nizza 52, Torino;I°;Biotecnologie ;convenzionale;450;71;0,9
0101M22;Scuola di Medicina;Biotenologie molecolari e scienze per la salute;Via Nizza 52, Torino;II°;Molecular Biotechnology;convenzionale;122;35;0,69
008717;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;I°;CHIMICA E TECNOLOGIE CHIMICHE;convenzionale;510;81;1,02
0205L31;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;I°;SCIENZA DEI MATERIALI;Convenzionale;520;82;1,04
0205M21;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;II°;CHIMICA;convenzionale;146;42;0,83
008527;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;II°;CHIMICA CLINICA, FORENSE E DELLO SPORT;convenzionale;146;42;0,83
008520;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;II°;CHIMICA DELL'AMBIENTE;convenzionale;146;42;0,83
008540;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;II°;CHIMICA INDUSTRIALE;convenzionale;146;42;0,83
0208M21-23;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;II°;MATERIALS SCIENCE;Convenzionale;154;44;0,87
005706;"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;Lungo Dora Siena, 100, Torino;I°;COMUNICAZIONE INTERCULTURALE;convenzionale;1036;164;2,07
0310L31;"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;Lungo Dora Siena, 100, Torino;I°;INNOVAZIONE SOCIALE, COMUNICAZIONE, NUOVE TECNOLOGIE;convenzionale;976;154;1,95
