Code;Edificio;Aula;Indirizzo;Coordinate;Capienza;N. PC;aulaInformatica;accessoDisabili;audio;banchiElettrificati;didatticaADistanza;documentCamera;lavagna;microfoni_fissi;microfoni_wireless;monitorTouch;pannelloControllo;postazionePcDocente;pred_hdmi_ospite;pred_vga_ospite;proiettore;puntoRistoro;rete;rete_wifi;sensore_ambientale;telecamera_amb_automatica;telecamera_amb_manuale;webConference;webcam
1;Palazzina Einaudi;Aula Azzurra;Corso Regina Margherita, 60, Torino;45.0723333, 7.6975789;18;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1
2;Palazzina Einaudi;Aula Rosa;Corso Regina Margherita, 60, Torino;45.0723333, 7.6975789;36;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
3;Palazzina Einaudi;Aula Verde;Corso Regina Margherita, 60, Torino;45.0723333, 7.6975789;49;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
4;C.so S.Maurizio 31/a;Aula 10;Corso S.Maurizio 31/a, Torino;45.0714463, 7.6932774;165;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1
5;C.so S.Maurizio 31/a;Aula 12;Corso S.Maurizio 31/a, Torino;45.0714463, 7.6932774;30;1;0;0;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;1;1
6;C.so S.Maurizio 31/a;Aula 3;Corso S.Maurizio 31/a, Torino;45.0714463, 7.6932774;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
7;C.so S.Maurizio 31/a;Aula 5;Corso S.Maurizio 31/a, Torino;45.0714463, 7.6932774;30;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;1;1
8;C.so S.Maurizio 31/a;Aula 8 Informatica - Thin Client;Corso S.Maurizio 31/a, Torino;45.0714463, 7.6932774;12;12;1;0;0;0;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;0;0;1;1
9;C.so S.Maurizio 31/a;Aula 9 Informatica -  le postazioni PC sono 40;Corso S.Maurizio 31/a, Torino;45.0714463, 7.6932774;80;40;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1
10;Campus Luigi Einaudi;A1 V. Pareto;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;134;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1
11;Campus Luigi Einaudi;A2 P. Jannac;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;134;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1
12;Campus Luigi Einaudi;A3 P. Greco;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;154;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1
13;Campus Luigi Einaudi;A4 G. Mosca;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;126;0;0;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0;1;1
14;Campus Luigi Einaudi;Aula 2D125 Giurisprudenza (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;12;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1
15;Campus Luigi Einaudi;Aula 2D263 Meeting Room Giurisprudenza (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;19;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;1;1
16;Campus Luigi Einaudi;Aula 3D101 EST (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;19;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;0;1;1
17;Campus Luigi Einaudi;Aula 3D136 EST (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;29;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1
18;Campus Luigi Einaudi;Aula 3D233 CPS (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;11;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1
19;Campus Luigi Einaudi;Aula 3D439 CPS (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;12;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;1
20;Campus Luigi Einaudi;Aula 3D440 CPS (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;15;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;1
21;Campus Luigi Einaudi;Aula 3D441 CPS (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;13;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;1
22;Campus Luigi Einaudi;Aula 3D453 CPS (no prenot);Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;18;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
23;Campus Luigi Einaudi;Aula G1 - Thin Client;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;24;25;0;1;1;0;1;1;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1
24;Campus Luigi Einaudi;Aula G2;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;24;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
25;Campus Luigi Einaudi;Aula G3 - NON PRENOTABILE;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Campus Luigi Einaudi;Aula Magna;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;322;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1
27;Campus Luigi Einaudi;B1 G. Grosso;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;149;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1
28;Campus Luigi Einaudi;B2 F.Barbano;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;124;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1
29;Campus Luigi Einaudi;B3 M. Roccella;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;125;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1
30;Campus Luigi Einaudi;C1;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;79;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
31;Campus Luigi Einaudi;C2;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;93;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
32;Campus Luigi Einaudi;C3 P. Farnetti;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;43;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
33;Campus Luigi Einaudi;C4;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;92;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
34;Campus Luigi Einaudi;D1 Primo Levi;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;147;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;1
35;Campus Luigi Einaudi;D2;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;43;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1
36;Campus Luigi Einaudi;D3;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;74;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1
37;Campus Luigi Einaudi;D4;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;75;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1
38;Campus Luigi Einaudi;D5;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;154;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
39;Campus Luigi Einaudi;E1 A. Passerin;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;147;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;1
40;Campus Luigi Einaudi;E2;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;43;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1
41;Campus Luigi Einaudi;E3;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;74;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1
42;Campus Luigi Einaudi;E4;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;75;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;1;1
43;Campus Luigi Einaudi;E5;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;151;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
44;Campus Luigi Einaudi;Einaudi 1;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;264;0;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;0;1;1
45;Campus Luigi Einaudi;Einaudi 2;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;432;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1
46;Campus Luigi Einaudi;Einaudi 3;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;433;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1
47;Campus Luigi Einaudi;Einaudi 4;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;193;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
48;Campus Luigi Einaudi;Einaudi 5;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;201;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
49;Campus Luigi Einaudi;Einaudi 6;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;193;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
50;Campus Luigi Einaudi;Einaudi 7;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;193;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1
51;Campus Luigi Einaudi;Einaudi Seminari 1;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
52;Campus Luigi Einaudi;Einaudi Seminari 2;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;21;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1
53;Campus Luigi Einaudi;Einaudi Seminari 3;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;22;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
54;Campus Luigi Einaudi;Einaudi Seminari 4;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;11;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
55;Campus Luigi Einaudi;F1;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;43;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
56;Campus Luigi Einaudi;F2;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;64;0;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1
