Scuola;Dipartimento;Livello;COD;Denominazione CdS;Denominazione CdS in Inglese;Lingua;Modalita didattica;Participants;Graduate Students  in 2021/2022;Proportion of Graduates;Sede Dipartimento;Coordinate
Scuola di Medicina;Scienze mediche;CU;007603;MEDICINA E CHIRURGIA;MEDICINE AND SURGERY;Italiano;convenzionale;3220;373;27,59;Molinette, Corso Dogliotti, 14,Torino;45.0406107, 7.6757794
Scuola di Scienze umanistiche;Filosofia e Scienze dell'Educazione;I;0508U51;Scienze della formazione primaria ;Primary teacher education;Italiano;convenzionale;2184;253;18,71;Via Sant'Ottavio, 20, Torino;45.067977, 7.6941289
Dip. Non afferente;Psicologia;II;011702;SCIENZE E TECNICHE PSICOLOGICHE;PSYCHOLOGICAL SCIENCES AND TECHNIQUES;Italiano;convenzionale;1961;307;3,92;Via Verdi, 10,Torino;45.0691151, 7.6898971
Scuola di Management ed Economia;"Management ""Valter Cantino""";II;1106L31;BUSINESS & MANAGEMENT;BUSINESS & MANAGEMENT;Inglese;convenzionale;1766;276;3,53;corso Unione Sovietica, 218bis, Torino;45.0380931, 7.6515426
Scuola di Management ed Economia;"Management ""Valter Cantino""";II;102703;ECONOMIA AZIENDALE;BUSINESS ADMINISTRATION;Italiano;convenzionale;1766;276;3,53;corso Unione Sovietica, 218bis, Torino;45.0380931, 7.6515426
Scuola di Management ed Economia;"Management ""Valter Cantino""";CU;092701;MANAGEMENT DELL'INFORMAZIONE E DELLA COMUNICAZIONE AZIENDALE;INFORMATION AND BUSINESS COMMUNICATION MANAGEMENT;Italiano;convenzionale;1766;276;3,53;corso Unione Sovietica, 218bis, Torino;45.0380931, 7.6515426
Scuola di Scienze umanistiche;Filosofia e Scienze dell'Educazione;I;006701;SCIENZE DELL`EDUCAZIONE;EDUCATION SCIENCES;Italiano;convenzionale;1511;236;3,02;Via Sant'Ottavio, 20, Torino;45.067977, 7.6941289
Scuola di Scienze umanistiche;Filosofia e Scienze dell'Educazione;I;005702;FILOSOFIA;PHILOSOPHY;Italiano;convenzionale;1501;235;3;Via Sant'Ottavio, 20, Torino;45.067977, 7.6941289
Scuola di Scienze della Natura ;Scienze della vita e biologia dei sistemi;I;008705;SCIENZE BIOLOGICHE;Biological Sciences;Italiano;convenzionale;1451;227;2,9;Via Gabriele Chiabrera, 27, Torino;45.0451239, 7.679907
Scuola di Scienze della Natura ;Scienze della vita e biologia dei sistemi;II;2202L31;SCIENZE E TECNICHE DELLE ATTIVITÀ MOTORIE E SPORTIVE;Sciences and techniques of physical and sport activities;Italiano;convenzionale;1451;227;2,9;Via Gabriele Chiabrera, 27, Torino;45.0451239, 7.679907
Scuola di Scienze della Natura ;Scienze della vita e biologia dei sistemi;I;008704;SCIENZE NATURALI;NATURAL SCIENCES;Italiano;convenzionale;1451;227;2,9;Via Gabriele Chiabrera, 27, Torino;45.0451239, 7.679907
Scuola di Scienze della Natura ;Informatica;I;008707;INFORMATICA;COMPUTER SCIENCE;Italiano;convenzionale;1431;224;2,86;Via Pessinetto 12, Torino;45.0899689, 7.6591649
Dip. Non afferente;Lingue e letterature straniere e culture moderne;II;012705;LINGUE E CULTURE PER IL TURISMO;LANGUAGES AND CULTURES FOR TOURISM;Italiano;convenzionale;1286;201;2,57;Via Sant'Ottavio, 18, Torino;45.0674128, 7.6941972
Dip. Non afferente;Lingue e letterature straniere e culture moderne;I;012701;LINGUE E LETTERATURE MODERNE;Modern Languages and Literatures;Italiano;convenzionale;1271;199;2,54;Via Sant'Ottavio, 18, Torino;45.0674128, 7.6941972
Dip. Non afferente;Lingue e letterature straniere e culture moderne;II;012703;SCIENZE DELLA MEDIAZIONE LINGUISTICA;MODERN LANGUAGES;Italiano;convenzionale;1271;199;2,54;Via Sant'Ottavio, 18, Torino;45.0674128, 7.6941972
Scuola di Management ed Economia;Scienze economico-sociali e matematico-statistiche;I;2301L31;ECONOMIA;ECONOMICS;Italiano, inglese;convenzionale;1211;189;2,42;corso Unione Sovietica, 218bis,Torino;45.0380931, 7.6515426
Scuola di Scienze umanistiche;Studi umanistici;I;005705;CULTURE E LETTERATURE DEL MONDO MODERNO;Modern cultures and literatures;Italiano;convenzionale;1096;171;2,19;Via Sant'Ottavio 20, Torino;45.067977, 7.6941289
Scuola di Scienze umanistiche;Studi umanistici;II;2701L31;DAMS (DISCIPLINE DELLE ARTI, DELLA MUSICA E DELLO SPETTACOLO);MUSIC, PERFORMING ARTS, CINEMA AND NEW MEDIA;Italiano;convenzionale;1086;170;2,17;Via Sant'Ottavio 20, Torino;45.067977, 7.6941289
Scuola di Scienze umanistiche;Studi umanistici;I;005701;LETTERE;HUMANITIES;Italiano;convenzionale;1086;170;2,17;Via Sant'Ottavio 20, Torino;45.067977, 7.6941289
Scuola di Scienze umanistiche;Studi umanistici;I;012702;LINGUE E CULTURE DELL`ASIA E DELL`AFRICA;Languages and Cultures of Asia and Africa;Italiano;convenzionale;1086;170;2,17;Via Sant'Ottavio 20, Torino;45.067977, 7.6941289
Scuola di Scienze umanistiche;Studi umanistici;I;005704;SCIENZE DELLA COMUNICAZIONE;COMMUNICATION STUDIES;Italiano;convenzionale;1086;170;2,17;Via Sant'Ottavio 20, Torino;45.067977, 7.6941289
"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;I;005706;COMUNICAZIONE INTERCULTURALE;CROSS-CULTURAL COMMUNICATION;Italiano;convenzionale;1051;164;2,1;Via Pietro Giuria 7, Torino;45.051487, 7.6809388
"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;I;0310L31;INNOVAZIONE SOCIALE, COMUNICAZIONE, NUOVE TECNOLOGIE;SOCIAL INNOVATION, COMMUNICATION, NEW TECHNOLOGIES;Italiano;convenzionale;986;154;1,97;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614
"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;I;009709;SCIENZE INTERNAZIONALI, DELLO SVILUPPO E DELLA COOPERAZIONE;INTERNATIONAL SCIENCE, DEVELOPMENT AND COOPERATION;Italiano;convenzionale;986;154;1,97;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614
"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;I;009710;SCIENZE POLITICHE E SOCIALI;POLITICAL & SOCIAL SCIENCES;Italiano;convenzionale;986;154;1,97;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614
"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;I;055702;SCIENZE STRATEGICHE E DELLA SICUREZZA;STRATEGIC AND SECURITY SCIENCES;Italiano;convenzionale;986;154;1,97;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614
"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;I;009704;SERVIZIO SOCIALE;SOCIAL WORK;Italiano;convenzionale;986;154;1,97;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614
"Scuola di Scienze giuridiche,
politiche ed economico-sociali";"Economia e Statistica ""Cognetti de Martiis""";I;0402L31;ECONOMIA E STATISTICA PER LE ORGANIZZAZIONI;ECONOMICS AND STATISTICS FOR ORGANIZATIONS;Italiano;convenzionale;951;149;1,9;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614
Scuola di Scienze della Natura ;"Matematica ""Giuseppe Peano""";II;1202L31;Matematica per l’Economia, la Finanza e l'Assicurazione ;Mathematics for Economics, Finance and Insurance;Italiano, inglese;convenzionale;901;141;1,8;Palazzo Campana, Torino;45.0679664, 7.685617168717558
Scuola di Medicina;Scienze cliniche e biologiche;II;1901U61;MEDICINE AND SURGERY;MEDICINE AND SURGERY;Inglese;convenzionale;837;97;7,17;Regione Gonzole, 10, Orbassano (TO);45.0294529, 7.5571538
Scuola di Agraria e Medicina veterinaria;Scienze veterinarie;II;010502;MEDICINA VETERINARIA;VETERINARY MEDICINE;Italiano;convenzionale;673;78;5,77;Largo Paolo Braccini 2,Grugliasco, TO;45.0671764, 7.591895900457507
Scuola di Medicina;Scienze della sanità pubblica e pediatriche;II;070701;INFERMIERISTICA;Nursing;Italiano;convenzionale;650;102;1,3;Piazza Polonia 94, Torino;45.0349293, 7.6751718
Scuola di Scienze della Natura ;Chimica;I;008717;CHIMICA E TECNOLOGIE CHIMICHE;CHEMISTRY AND CHEMICAL TECHNOLOGY;Italiano;convenzionale;640;100;1,28;Via Pietro Giuria 7, Torino;45.051487, 7.6809388
Scuola di Scienze della Natura ;Fisica;I;008703;FISICA;Physics;Italiano;convenzionale;640;100;1,28;Via Pietro Giuria, 1, Torino;45.0520181, 7.681774250802235
Scuola di Scienze della Natura ;"Matematica ""Giuseppe Peano""";I;008708;MATEMATICA;MATHEMATICS;Italiano;convenzionale;640;100;1,28;Palazzo Campana, Torino;45.0679664, 7.685617168717558
Scuola di Medicina;Scienze della sanità pubblica e pediatriche;II;070717;INFERMIERISTICA PEDIATRICA;Pediatric nursing;Italiano;convenzionale;640;100;1,28;Piazza Polonia 94, Torino;45.0349293, 7.6751718
