COD;Scuola;Dipartimento;Sede Dipartimento;Coordinate;Livello;Denominazione CdS;Modalità didattica;Participants;Graduate Students  in 2021/2022;Proportion of Graduates
56701;Scuola di Medicina;Biotenologie molecolari e scienze per la salute;Via Nizza 52, Torino;45.0501781, 7.6739911;I;Biotecnologie ;convenzionale;450;71;0,9
0101M22;Scuola di Medicina;Biotenologie molecolari e scienze per la salute;Via Nizza 52, Torino;45.0501781, 7.6739911;II;Molecular Biotechnology;convenzionale;122;35;0,69
8717;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;45.051487, 7.6809388;I;CHIMICA E TECNOLOGIE CHIMICHE;convenzionale;510;81;1,02
0205L31;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;45.051487, 7.6809388;I;SCIENZA DEI MATERIALI;Convenzionale;520;82;1,04
0205M21;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;45.051487, 7.6809388;II;CHIMICA;convenzionale;146;42;0,83
8527;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;45.051487, 7.6809388;II;CHIMICA CLINICA, FORENSE E DELLO SPORT;convenzionale;146;42;0,83
8520;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;45.051487, 7.6809388;II;CHIMICA DELL'AMBIENTE;convenzionale;146;42;0,83
8540;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;45.051487, 7.6809388;II;CHIMICA INDUSTRIALE;convenzionale;146;42;0,83
0208M21-23;Scuola di Scienze della Natura ;Chimica;Via Pietro Giuria 7, Torino;45.051487, 7.6809388;II;MATERIALS SCIENCE;Convenzionale;154;44;0,87
5706;"Scuola di Scienze giuridiche,
politiche ed economico-sociali";Culture, politica e società;Lungo Dora Siena, 100, Torino;45.0737596, 7.6991614;I;COMUNICAZIONE INTERCULTURALE;convenzionale;1036;164;2,07
