Address1,Address2,Distance
"Corso Regina Margherita, 60, Torino","Via Nizza 52, Torino",3.08
"Corso S.Maurizio 31/a, Torino","Via Nizza 52, Torino",2.81
"Lungo Dora Siena, 100, Torino","Via Nizza 52, Torino",3.29
"Largo Paolo Braccini, 2, Grugliasco","Via Nizza 52, Torino",6.74
"Via Nizza 52, Torino","Via Quarello, 15/A, Torino",5.78
"Via Nizza 52, Torino","Via Po, 30, Torino",2.33
"Via Nizza 52, Torino","Via XX Settembre, 15, Torino",1.74
"Piazza Castello, 9, Torino","Via Nizza 52, Torino",2.42
"Via Nizza 52, Torino","Via Nizza, 262, Torino",2.07
"Via Nizza 52, Torino","Via San Giacomo, 2, Beinasco",6.59
"Via Nizza 52, Torino","Via Sant'Ottavio, 18, Torino",2.49
"Corso Massimo D'Azeglio, 50, Torino","Via Nizza 52, Torino",0.55
"Corso Massimo D'Azeglio, 52, Torino","Via Nizza 52, Torino",0.51
"Corso Raffaello, 30, Torino","Via Nizza 52, Torino",0.54
"Via Nizza 52, Torino","Via Pietro Giuria, 7, Torino",0.57
"Via Nizza 52, Torino","Via Pietro Giuria, 1, Torino",0.65
"Via Nizza 52, Torino","Via Pessinetto, 12, Torino",4.57
"Via Michelangelo, 27, Torino","Via Nizza 52, Torino",0.54
"Via Nizza 52, Torino","Via Valperga Caluso, 35, Torino",0.66
"Via Nizza 52, Torino","Viale Pier Andrea Mattioli, 25, Torino",1.11
"Via Nizza 52, Torino","Via Pietro Giuria, 9, Torino",0.57
"Via Gabriele Chiabrera, 27, Torino","Via Nizza 52, Torino",0.73
"Via Nizza 52, Torino","Via Po, 18, Torino",2.38
"Corso Regina Margherita, 211, Torino","Via Nizza 52, Torino",3.76
"Via Montebello, 28 bis, Torino","Via Nizza 52, Torino",2.8
"Corso Massimo D'Azeglio, 42, Torino","Via Nizza 52, Torino",0.73
"Via Antonio Rosmini, 4/a, Torino","Via Nizza 52, Torino",0.17
"Via Nizza 52, Torino","Via Nizza, 230, Torino",2.01
"Via Nizza 52, Torino","Via Nizza, 52, Torino",0.0
"Corso Bramante, 88, Torino","Via Nizza 52, Torino",0.95
"Corso Achille Mario Dogliotti, 14, Torino","Via Nizza 52, Torino",1.08
"Corso Dogliotti, 38, Torino","Via Nizza 52, Torino",1.24
"Via Cherasco, 11, Torino","Via Nizza 52, Torino",1.24
"Via Cherasco, 15, Torino","Via Nizza 52, Torino",1.28
"Via Genova, 3, Torino","Via Nizza 52, Torino",1.0
"Via Nizza 52, Torino","Via Santena, 5 bis, Torino",1.44
"Via Nizza 52, Torino","Via Santena, 7, Torino",1.45
"Via Nizza 52, Torino","Via Santena, 9, Torino",1.45
"Via Nizza 52, Torino","Via Zuretti, 29, Torino",1.87
"Via Juvarra, 19, Torino","Via Nizza 52, Torino",2.71
"Largo Polonia, 94, Torino","Via Nizza 52, Torino",1.69
"Via Cherasco, 23, Torino","Via Nizza 52, Torino",1.41
"Via Nizza 52, Torino","Via Ventimiglia, 3, Torino",1.69
"Via Nizza 52, Torino","Via Ventimiglia, 145, Torino",3.0
"Via Giulia di Barolo, 3/a, Torino","Via Nizza 52, Torino",2.47
"Via Nizza 52, Torino","Via dell'Arsenale, 22, Torino",1.88
"Via Nizza 52, Torino","Via Verdi, 10, Torino",2.45
