Degree Code,Degree Name,Degree Department,Degree Level,Number of Students,Number of Assignments,Mean Distance,"(0, 0.5)","(0.5, 1)","(1, 2)","(2, 3)","(3, 4)","(4, 5)","(5, 20)"
007603,MEDICINA E CHIRURGIA,Scienze mediche,CU,3220,80,0.85,20,22,38,0,0,0,0
0508U51,Scienze della formazione primaria ,Filosofia e Scienze dell'Educazione,CU,2184,60,0.46,38,17,1,3,1,0,0
011702,SCIENZE E TECNICHE PSICOLOGICHE,Psicologia,I,1961,48,0.5,38,10,0,0,0,0,0
1106L31,BUSINESS & MANAGEMENT,"Management ""Valter Cantino""",I,1766,36,0.28,32,0,4,0,0,0,0
102703,ECONOMIA AZIENDALE,"Management ""Valter Cantino""",I,1766,36,0.42,29,0,7,0,0,0,0
092701,MANAGEMENT DELL'INFORMAZIONE E DELLA COMUNICAZIONE AZIENDALE,"Management ""Valter Cantino""",I,1766,36,0.32,31,0,5,0,0,0,0
006701,SCIENZE DELL`EDUCAZIONE,Filosofia e Scienze dell'Educazione,I,1511,36,0.46,28,2,2,4,0,0,0
005702,FILOSOFIA,Filosofia e Scienze dell'Educazione,I,1501,36,0.8,21,5,0,10,0,0,0
008705,SCIENZE BIOLOGICHE,Scienze della vita e biologia dei sistemi,I,1451,36,0.0,36,0,0,0,0,0,0
2202L31,SCIENZE E TECNICHE DELLE ATTIVITÀ MOTORIE E SPORTIVE,Scienze della vita e biologia dei sistemi,I,1451,36,0.0,36,0,0,0,0,0,0
008704,SCIENZE NATURALI,Scienze della vita e biologia dei sistemi,I,1451,36,0.0,36,0,0,0,0,0,0
008707,INFORMATICA,Informatica,I,1431,36,0.0,36,0,0,0,0,0,0
012705,LINGUE E CULTURE PER IL TURISMO,Lingue e letterature straniere e culture moderne,I,1286,36,0.33,31,1,0,4,0,0,0
012701,LINGUE E LETTERATURE MODERNE,Lingue e letterature straniere e culture moderne,I,1271,36,0.6,26,2,3,5,0,0,0
012703,SCIENZE DELLA MEDIAZIONE LINGUISTICA,Lingue e letterature straniere e culture moderne,I,1271,36,0.76,23,3,4,6,0,0,0
2301L31,ECONOMIA,Scienze economico-sociali e matematico-statistiche,I,1211,36,0.22,32,0,4,0,0,0,0
005705,CULTURE E LETTERATURE DEL MONDO MODERNO,Studi umanistici,I,1096,24,0.82,16,2,0,3,3,0,0
2701L31,"DAMS (DISCIPLINE DELLE ARTI, DELLA MUSICA E DELLO SPETTACOLO)",Studi umanistici,I,1086,24,0.68,16,3,1,4,0,0,0
005701,LETTERE,Studi umanistici,I,1086,24,0.39,19,1,3,1,0,0,0
012702,LINGUE E CULTURE DELL`ASIA E DELL`AFRICA,Studi umanistici,I,1086,24,0.41,21,0,0,3,0,0,0
005704,SCIENZE DELLA COMUNICAZIONE,Studi umanistici,I,1086,24,0.67,16,3,1,4,0,0,0
005706,COMUNICAZIONE INTERCULTURALE,"Culture, politica e società",I,1051,24,0.14,22,2,0,0,0,0,0
0310L31,"INNOVAZIONE SOCIALE, COMUNICAZIONE, NUOVE TECNOLOGIE","Culture, politica e società",I,986,24,0.0,24,0,0,0,0,0,0
009709,"SCIENZE INTERNAZIONALI, DELLO SVILUPPO E DELLA COOPERAZIONE","Culture, politica e società",I,986,24,0.0,24,0,0,0,0,0,0
009710,SCIENZE POLITICHE E SOCIALI,"Culture, politica e società",I,986,24,0.19,22,0,0,2,0,0,0
055702,SCIENZE STRATEGICHE E DELLA SICUREZZA,"Culture, politica e società",I,986,24,0.0,24,0,0,0,0,0,0
009704,SERVIZIO SOCIALE,"Culture, politica e società",I,986,24,0.0,24,0,0,0,0,0,0
0402L31,ECONOMIA E STATISTICA PER LE ORGANIZZAZIONI,"Economia e Statistica ""Cognetti de Martiis""",I,951,24,0.0,24,0,0,0,0,0,0
