Dipartimento,Sede,Numero Lauree
['Scienze mediche'],"Molinette, Corso Dogliotti, 14,Torino",4
"[""Filosofia e Scienze dell'Educazione""]","Via Sant'Ottavio, 20, Torino",7
['Psicologia'],"Via Verdi, 10,Torino",5
"['Management ""Valter Cantino""']","corso Unione Sovietica, 218bis, Torino",4
['Scienze della vita e biologia dei sistemi'],"Via Gabriele Chiabrera, 27, Torino",3
['Informatica'],"Via Pessinetto 12, Torino",3
['Lingue e letterature straniere e culture moderne'],"Via Sant'Ottavio, 18, Torino",8
['Scienze economico-sociali e matematico-statistiche'],"corso Unione Sovietica, 218bis,Torino",4
"['Studi umanistici', 'Studi storici']","Via Sant'Ottavio 20, Torino",14
"['Culture, politica e società', 'Chimica']","Via Pietro Giuria 7, Torino",8
"['Culture, politica e società', 'Economia e Statistica ""Cognetti de Martiis""', 'Giurisprudenza']","Lungo Dora Siena, 100, Torino",21
"['Matematica ""Giuseppe Peano""']","Palazzo Campana, Torino",4
['Scienze veterinarie'],"Largo Paolo Braccini 2,Grugliasco, TO",3
['Scienze della sanità pubblica e pediatriche'],"Piazza Polonia 94, Torino",9
['Fisica'],"Via Pietro Giuria, 1, Torino",4
['Scienza e tecnologia del farmaco'],"Via Pietro Giuria, 9, Torino",3
['Biotenologie molecolari e scienze per la salute'],"Via Nizza 52, Torino",2
['Scienze chirurgiche'],"Corso Dogliotti 14, Torino",8
"['Scienze agrarie, forestali e alimentari']","Largo Paolo Braccini 2, Grugliasco, TO",11
"['Scienze cliniche e biologiche', 'Scienze Cliniche e Biologiche', 'Oncologia']","Regione Gonzole, 10, Orbassano (TO)",3
['Scienze della vita e biologia dei sistemi'],"via Accademia Albertina, 13, Torino",3
['Studi umanistici'],"Via Sant'Ottavio 18, Torino",5
['Scienze della vita e biologia dei sistemi'],via Carlo Alberto 10 Torino,3
['Scienze della terra'],"Via Valperga Caluso, 35,Torino",4
['Oncologia'],"Via Rosmini, 4/A, Torino",1
"['Neuroscienze ""Rita Levi Montalcini""']","Corso Massimo D'Azeglio, 52, Torino",1
"['Interateneo di Scienze, progetto e politiche del territorio']","Viale Pier Andrea Mattioli, 39,Torino",1
"['Neuroscienze ""Rita Levi Montalcini""']","Via Cherasco, 15, Torino",1
