Building,Total Classrooms,Used Classrooms,Building Usage
Palazzina Einaudi,3,0,0.0
C.so S.Maurizio 31/a,6,2,33.333333333333336
Campus Luigi Einaudi,76,37,48.68421052631579
Campus Samev,38,24,63.1578947368421
Centro dell'Innovazione,9,0,0.0
Cinema Greenwich,3,3,100.0
Cinema Reposi - Via XX Settembre 15,1,1,100.0
Cinema Romano,2,2,100.0
Cinema UCI Lingotto,8,8,100.0
Cli Beinasco,17,0,0.0
Complesso Aldo Moro,14,14,100.0
Corso M.D'Azeglio 50,3,1,33.333333333333336
Corso M.D'Azeglio 52,7,3,42.857142857142854
Corso Raffaello 30,1,0,0.0
Dipartimento di Chimica,9,7,77.77777777777777
Dipartimento di Fisica,12,8,66.66666666666667
Dipartimento di Informatica,11,8,72.72727272727273
Dipartimento di Oncologia V.Michelangelo 27,2,2,100.0
Dipartimento di Scienze della Terra,8,3,37.5
Dipartimento di Scienze della Vita e Biologia dei Sistemi,12,7,58.333333333333336
Dipartimento di Scienze della Vita e Biologia dei Sistemi - Sede Viale Mattioli,5,2,40.0
Dipartimento DIST,1,1,100.0
DSTF - Via Giuria 9,5,2,40.0
"Edificio ""Ex La Stampa""",23,19,82.6086956521739
Fondazione Guzzo,1,0,0.0
Hotel Royal Torino,1,0,0.0
Istituto Cabrini,1,1,100.0
Istituto Galileo Ferraris,3,0,0.0
Istituto Rosmini,32,1,3.125
Lingotto - Dental School,11,1,9.090909090909092
MBC,16,6,37.5
Molinette C.so Bramante 88,2,2,100.0
Molinette C.so Dogliotti 14,5,5,100.0
Molinette C.so Dogliotti 38,4,4,100.0
Molinette Via Cherasco 11,2,1,50.0
Molinette Via Cherasco 15,2,2,100.0
Molinette Via Genova 3,6,5,83.33333333333333
Molinette Via Santena 5bis,3,1,33.333333333333336
Molinette Via Santena 7,2,1,50.0
Molinette Via Santena 9,3,3,100.0
Ospedale C.T.O.,3,3,100.0
Ospedale Oftalmico,1,0,0.0
Ospedale Regina Margherita,2,2,100.0
Ospedale San Lazzaro,1,1,100.0
Ospedale Sant'Anna Via Ventimiglia 3,2,2,100.0
Palavela Via Ventimiglia 145,4,0,0.0
Palazzetto Gorresio,8,0,0.0
Palazzo Arsenale,16,1,6.25
Palazzo Badini,3,2,66.66666666666667
Palazzo Campana,22,7,31.818181818181817
Palazzo Nuovo,39,36,92.3076923076923
Palazzo Simoni,30,0,0.0
Palazzo Venturi,11,4,36.36363636363637
Plana,11,9,81.81818181818181
Polo Teologico,3,3,100.0
San Luigi Gonzaga,11,10,90.9090909090909
School of Management - SAA,21,1,4.761904761904762
SME - Edificio Storico,30,16,53.333333333333336
SME - Nuovo Polo Didattico,15,3,20.0
Torino Esposizioni,1,0,0.0
Via Giuria 15,1,0,0.0
Via Michelangelo 25,1,1,100.0
Via Sant'Ottavio 54,12,0,0.0
